"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование основных функций приложения","1521","Навигация на вкладку Конструктор","tests","2025-12-12","passed","2025-12-12","TestMainFunctionality","test_main_functionality","",""
"Тестирование функциональности раздела ""Лента заказов""","7617","Номер заказа появляется в разделе ""В работе""","tests","2025-12-12","passed","2025-12-12","TestOrdersSection","test_orders_section","",""
"Тестирование функциональности раздела ""Лента заказов""","8394","Счётчик ""Выполнено за сегодня"" увеличивается при создании заказа","tests","2025-12-12","passed","2025-12-12","TestOrdersSection","test_orders_section","",""
"Тестирование основных функций приложения","2326","Навигация на ленту заказов","tests","2025-12-12","passed","2025-12-12","TestMainFunctionality","test_main_functionality","",""
"Тестирование основных функций приложения","1634","Модальное окно ингредиента открывается","tests","2025-12-12","passed","2025-12-12","TestMainFunctionality","test_main_functionality","",""
"Тестирование функциональности раздела ""Лента заказов""","8364","Счётчик ""Выполнено за все время"" увеличивается при создании заказа","tests","2025-12-12","passed","2025-12-12","TestOrdersSection","test_orders_section","",""
"Тестирование основных функций приложения","2716","Счётчик ингредиентов увеличивается при добавлении","tests","2025-12-12","passed","2025-12-12","TestMainFunctionality","test_main_functionality","",""
"Тестирование основных функций приложения","2154","Модальное окно ингредиента закрывается кликом на крестик","tests","2025-12-12","passed","2025-12-12","TestMainFunctionality","test_main_functionality","",""
